no,image,situs,poktan,desa,bast,bast_file
561,2029,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81477/empty,Parit Gayam I,Upang Marga,25075000,2029
562,2030,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81478/empty,Parit Gayam II,Upang Marga,21535000,2030
563,2031,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81479/empty,Sungai Tapah,Upang Marga,21240000,2031
564,2032,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81480/empty,Marga Raya,Upang Marga,8850000,2032
565,2033,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81481/empty,Sumber Tani,Upang Marga,7375000,2033
566,2034,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81482/empty,Marga Sentosa,Upang Marga,14160000,2034
567,2035,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81483/empty,Marga Mulya,Upang Marga,15635000,2035
568,2036,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81484/empty,Marga Batu,Upang Marga,21240000,2036
569,2037,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81485/empty,Suka Maju,Upang Marga,13275000,2037
570,2038,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81486/empty,Usaha Bersama,Upang Marga,12685000,2038
571,2039,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81487/empty,Parit Buyut,Upang Marga,10620000,2039
572,2040,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81488/empty,Tani Muda I,Upang Marga,5900000,2040
573,2041,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81489/empty,Marga Usaha,Sidoharjo,21535000,2041
574,2042,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81490/empty,Panca Usaha,Sidoharjo,21240000,2042
575,2043,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81491/empty,Karya Tani,Sidoharjo,21535000,2043
576,2044,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81492/empty,Tirrto Ayu,Sidoharjo,20945000,2044
577,2045,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81493/empty,Karya Bakti,Sidoharjo,20650000,2045
578,2046,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81495/empty,Taruna Bakti,Sidoharjo,20945000,2046
579,2047,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81496/empty,Hasil Sempurna,Sidoharjo,19470000,2047
580,2048,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81497/empty,Tirto Agung,Sidoharjo,23600000,2048
581,2049,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81498/empty,Banyumas Milir,Sidoharjo,12390000,2049
582,2050,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81499/empty,Sukamaju,Sidoharjo,17995000,2050
583,2051,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81500/empty,Purworejo,Sidoharjo,16520000,2051
584,2052,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81501/empty,Sidomakmur,Sidoharjo,16815000,2052
585,2053,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81502/empty,Geminastiti,Sidoharjo,15635000,2053
586,2054,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81503/empty,Cinta Harapan,Sidoharjo,13570000,2054
587,2055,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81504/empty,Harapan Cinta,Sidoharjo,7375000,2055
588,2056,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81506/empty,Harapan Baru,Sidoharjo,16815000,2056
589,2057,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81507/empty,Tiga Saudara,Sidoharjo,15045000,2057
590,2058,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81508/empty,Usaha Sri Rejeki,Sidoharjo,5605000,2058
