no,nomor,situs,poktan,desa,bast
182,182/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92040/empty,Tani Widodo,Widodaren,23600000
183,183/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92041/empty,Tani Teguh,Widodaren,25075000
184,184/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92042/empty,Tani Jaya,Karangasem,36875000
185,185/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92043/empty,Tani Makmur A,Kendalsari,30975000
186,186/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92044/empty,Tani Makmur B,Kendalsari,27435000
187,187/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92045/empty,Tani Makmur C,Kendalsari,28025000
188,188/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92046/empty,Tani Makmur D,Kendalsari,29500000
189,189/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92047/empty,Sido Makmur,Serang,18290000
190,190/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92048/empty,Penanggoan,Serang,13275000
191,191/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92049/empty,Sri Rejeki,Serang,24780000
192,192/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92050/empty,Penanggoan 2,Serang,11800000
193,193/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92051/empty,Karya Tani,Sirangkang,17700000
194,194/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92052/empty,Sumber Rejeki,Sirangkang,14750000
195,195/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92053/empty,Sumber Makmur,Sirangkang,10325000
196,196/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92054/empty,Dewi Sri,Petarukan,16815000
197,197/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92055/empty,Jati Sari,Petarukan,8850000
198,198/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92056/empty,Parikesit,Petarukan,18880000
199,199/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92057/empty,Seneng Maju,Petarukan,17405000
200,200/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92058/empty,Karya Tani,Iser,14750000
201,201/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92059/empty,Sidodadi,Iser,12685000
202,202/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92060/empty,Tani Makmur,Iser,18880000
203,203/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92061/empty,Tunas Tani,Iser,11800000
204,204/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92062/empty,Sri Bekti,Loning,20355000
205,205/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92063/empty,Tani Makmur,Loning,14750000
